1,0.26,1.38,479,0.33,1.31,471,0.28,1.47,366,0.26,1.44,423,0.31,1.32,535,0.26,1.41,324,0.28,1.43,461,0.27,1.49,448,0.34,1.27,371,0.27,1.27,505,0.28,1.29,548,0.33,1.45,349
2,3.9,5.84,184,3.86,5.27,123,4.34,5.71,147,3.79,5.53,116,4.24,5.57,127,3.98,5.62,185,3.78,5.35,139,4.1,5.37,183,4.3,5.85,131,4.13,5.45,188,3.64,5.49,189,4.26,5.68,102
3,3.19,4.86,202,2.54,4.94,190,2.62,4.74,199,2.72,4.56,174,2.75,4.65,233,3.0,4.52,221,2.5,4.55,187,2.87,4.58,219,2.86,4.6,195,2.6,4.67,185,3.3,5.15,238,2.79,4.59,163
4,3.29,5.13,108,3.42,4.81,98,3.44,4.85,91,3.36,5.14,110,3.62,4.96,97,3.67,5.04,88,3.69,4.98,83,3.26,5.01,80,3.29,5.08,116,3.54,5.15,119,3.3,5.16,78,3.57,4.98,103
5,3.7,5.85,58,3.62,5.89,97,3.34,6.18,119,3.81,6.12,75,3.85,5.91,103,3.68,5.78,93,3.68,6.0,107,3.62,6.04,90,3.84,5.97,75,3.85,5.84,85,3.8,5.83,86,3.9,5.93,110
6,2.71,5.43,203,2.71,5.46,230,2.84,5.56,244,2.89,5.31,226,2.64,5.54,217,2.83,5.66,206,2.86,5.37,229,2.39,5.62,258,2.3,5.52,259,2.63,5.31,208,2.41,5.55,225,2.53,5.46,266
7,1.99,3.34,278,1.97,3.36,265,2.09,3.54,279,1.94,3.36,142,1.81,3.43,259,2.06,3.44,261,1.97,3.52,117,1.8,3.38,252,2.08,3.57,176,2.04,3.48,184,1.88,3.57,140,1.96,3.51,274
8,4.4,6.35,121,4.44,6.35,136,4.38,6.33,140,4.25,6.47,101,4.23,6.49,133,4.46,6.53,149,4.28,6.59,105,4.26,6.55,135,4.45,6.6,142,4.43,6.46,43,4.38,6.45,77,4.28,6.49,114
9,2.44,4.78,106,2.4,4.81,81,2.45,4.78,104,2.47,4.45,106,2.4,4.62,113,2.21,4.32,109,2.29,4.41,85,2.38,4.84,117,2.3,4.68,107,2.36,4.71,91,2.46,4.46,93,2.4,4.58,60
10,0.54,2.76,341,0.67,2.64,317,0.8,2.53,216,0.85,2.32,296,0.85,2.57,205,0.64,2.67,321,0.53,2.44,329,0.69,2.35,227,0.58,2.52,297,0.8,2.74,305,0.88,2.54,270,0.62,2.64,259
