1,0.31,1.28,574,0.26,1.26,507,0.27,1.35,442,0.28,1.31,513,0.29,1.48,335,0.34,1.26,377,0.3,1.27,592,0.28,1.26,494,0.32,1.32,576,0.26,1.35,350,0.32,1.27,310,0.29,1.5,385
2,4.01,5.37,132,3.93,5.32,188,3.83,5.68,162,3.65,5.33,195,4.05,5.32,114,4.02,5.32,116,3.57,5.27,165,3.61,5.39,160,3.65,5.52,119,3.52,5.86,104,3.51,5.81,107,3.78,5.74,102
3,2.72,5.1,206,3.01,5.14,162,2.95,4.6,211,2.81,4.66,230,3.05,4.65,171,3.07,4.51,247,2.54,4.7,221,3.24,4.86,237,3.16,4.51,154,2.71,4.93,167,2.97,4.72,242,3.0,5.14,160
4,3.36,4.87,74,3.63,4.89,129,3.62,4.79,123,3.33,5.07,119,3.64,4.86,89,3.43,4.82,123,3.24,4.82,120,3.69,4.76,81,3.54,4.78,128,3.26,5.08,82,3.51,4.96,71,3.55,5.12,94
5,3.63,5.93,75,3.68,6.16,104,3.32,6.09,117,3.9,6.16,61,3.31,5.93,77,3.71,6.13,98,3.55,6.06,103,3.43,5.98,96,3.7,5.81,53,3.48,5.95,71,3.55,5.97,53,3.6,5.74,55
6,2.43,5.62,234,2.35,5.43,246,2.34,5.56,227,2.65,5.4,208,2.41,5.55,248,2.76,5.42,258,2.7,5.53,263,2.72,5.37,229,2.58,5.7,241,2.77,5.58,241,2.64,5.54,210,2.85,5.59,237
7,1.81,3.45,109,2.08,3.41,203,1.86,3.3,169,1.87,3.49,115,1.89,3.37,211,2.09,3.49,220,2.0,3.5,106,1.94,3.52,264,2.06,3.59,219,1.98,3.33,189,2.08,3.43,194,2.02,3.56,178
8,4.24,6.42,103,4.49,6.58,119,4.32,6.31,37,4.25,6.47,44,4.39,6.54,73,4.47,6.48,84,4.4,6.57,149,4.3,6.37,56,4.26,6.4,77,4.3,6.31,87,4.42,6.46,34,4.44,6.39,80
9,2.45,4.64,107,2.21,4.51,111,2.31,4.52,79,2.49,4.77,82,2.38,4.64,104,2.41,4.86,62,2.22,4.65,77,2.49,4.7,111,2.38,4.89,87,2.34,4.5,88,2.36,4.72,115,2.24,4.5,119
10,0.66,2.85,220,0.54,2.34,307,0.74,2.69,258,0.79,2.85,315,0.56,2.31,265,0.67,2.71,287,0.64,2.87,325,0.78,2.74,254,0.56,2.53,298,0.72,2.85,233,0.76,2.58,265,0.79,2.45,268
11,1.67,3.54,149,1.86,3.8,199,1.89,3.5,182,1.83,3.31,164,1.71,3.76,143,1.66,3.72,194,1.5,3.72,189,1.69,3.72,167,1.53,3.38,178,1.53,3.45,200,1.73,3.66,135,1.9,3.84,167
12,11.66,16.71,51,11.6,16.11,45,11.9,15.74,46,11.7,15.92,55,11.7,15.85,42,11.66,16.82,53,11.82,16.42,52,11.65,16.03,57,11.67,15.46,50,11.6,16.3,54,11.77,16.61,53,11.8,16.79,54
13,20.88,29.04,85,20.69,30.16,96,20.81,29.88,112,20.76,28.79,99,21.97,28.99,101,22.49,29.59,105,21.45,28.98,117,20.66,30.28,104,22.42,29.0,96,22.77,29.02,116,22.39,28.52,98,22.0,28.5,116
14,3.62,5.76,211,3.55,5.9,187,3.4,5.79,201,3.36,5.69,198,3.35,5.74,184,3.61,5.84,215,3.3,5.79,194,3.53,5.6,209,3.63,6.09,184,3.66,5.93,203,3.48,5.92,216,3.53,5.51,181
15,20.61,25.63,68,19.29,25.91,128,18.73,26.5,78,20.27,25.5,140,20.45,27.05,91,20.9,26.74,115,19.48,25.74,144,22.14,25.77,73,20.37,26.35,145,18.42,26.41,94,22.53,26.58,101,18.86,26.02,73
16,27.83,35.08,57,27.2,34.88,41,26.37,36.49,63,26.53,33.27,56,28.64,32.7,48,28.16,32.79,58,28.43,32.55,69,26.67,35.0,43,27.92,34.79,85,26.96,35.07,53,27.44,35.46,68,27.83,35.89,73
17,17.9,23.97,48,18.5,23.03,59,18.54,22.54,51,18.19,23.21,56,17.31,22.67,52,18.07,23.23,57,18.3,23.15,56,18.06,23.46,52,17.54,23.94,44,18.53,23.69,48,17.58,24.01,58,18.58,23.94,44
18,9.75,15.66,65,11.06,14.74,60,10.09,15.55,54,10.28,14.9,87,11.18,14.58,35,9.42,14.51,92,9.89,15.3,77,11.55,15.8,35,10.89,15.45,81,9.46,15.53,31,11.55,15.14,48,11.54,14.58,126
19,13.46,19.6,61,13.14,18.86,68,13.91,19.07,76,13.41,18.77,78,12.81,19.76,78,13.53,19.87,65,12.82,19.02,65,13.15,19.59,67,13.13,18.82,70,13.87,19.6,64,13.36,18.85,80,13.52,18.91,64
20,33.4,42.3,39,33.73,42.41,35,33.74,44.07,55,33.4,43.22,50,34.5,41.41,41,32.77,43.99,37,34.53,43.08,34,33.49,43.78,52,33.55,42.66,53,32.31,40.65,54,34.21,41.29,34,33.12,41.82,31
21,27.72,34.87,66,28.51,34.63,63,28.38,32.7,35,28.12,34.2,76,26.09,33.3,40,28.37,32.71,22,27.98,32.57,66,25.71,33.44,50,27.3,34.79,62,27.45,34.14,27,28.45,32.85,30,27.21,33.32,48
22,9.55,12.9,40,10.51,12.7,46,9.72,13.06,28,10.56,12.73,55,9.45,12.9,45,9.32,13.02,28,9.46,12.87,48,9.9,12.52,54,9.73,12.62,23,9.89,12.96,50,9.82,12.65,46,9.71,12.97,41
23,8.74,14.3,286,8.65,15.07,241,9.48,14.47,243,8.55,15.05,213,9.19,15.06,257,9.69,14.73,229,8.48,13.68,288,8.64,14.5,244,8.46,13.99,208,8.86,14.87,204,9.34,13.8,288,8.76,14.48,236
24,0.89,1.53,433,0.88,1.52,442,0.83,1.64,404,0.84,1.6,420,0.84,1.6,433,0.8,1.52,437,0.85,1.67,493,0.84,1.69,466,0.89,1.55,463,0.86,1.54,467,0.9,1.54,457,0.85,1.65,448
