Ayran,4,Beverage
Bread,24,Food
Butter,15,Food
Candy,10,Snack
Cereal,18,Food
Cheese,13,Food
Chicken,19,Food
Chips,8,Snack
Chocolate,7,Snack
Coke,2,Beverage
Cookie,11,Snack
Cracker,9,Snack
Detergent,28,Home
Dish,26,Home
Eggs,23,Food
Fish,21,Food
Glass,27,Home
Honey,16,Food
Ice Cream,12,Snack
Ice Tea,5,Beverage
Jam,17,Food
Juice,3,Beverage
Meatball,20,Food
Milk,6,Beverage
Perfume,32,Personal
Pickle,22,Food
Shampoo,29,Personal
Soap,30,Personal
Tissue,25,Home
Toothpaste,31,Personal
Water,1,Beverage
Yogurt,14,Food
